name,baseMean,baseMeanControl,baseMeanMetal,foldChange,logFC,logCPM,PValue,FDR,control_gill,control_intestine,control_kidney,control_liver,metal_gill,metal_intestine,metal_kidney,metal_liver
ENSSTUE00000499657,15.5,9.5,21.5,2.27935674964886,1.18862674323855,4.8177693338697,0.211676300710812,1,4,6,10,18,12,4,9,61
ENSSTUE00000425594,16.125,9.5,22.75,2.27701782090262,1.18714558265909,4.90952558350496,0.0229161316810205,1,11,11,6,10,26,31,11,23
ENSSTUE00000054985,11.375,7,15.75,2.27689696719465,1.18706900896225,4.46105709178932,0.134953622649303,1,4,16,6,2,8,34,14,7
ENSSTUE00000502339,27.625,17,38.25,2.26992074469101,1.18264192604599,5.59331427869578,0.193795635862497,1,11,18,6,33,17,18,12,106
ENSSTUE00000102530,42.375,26,58.75,2.25896975322864,1.17566495370613,6.21585845391056,0.477268206408931,1,61,1,42,0,68,1,163,3
ENSSTUE00000478012,12.375,7.75,17,2.25718284381266,1.17452328923306,4.58142864713519,0.040993113579412,1,8,11,6,6,15,13,31,9
ENSSTUE00000299840,19,11.75,26.25,2.25575465772382,1.17361016466357,5.10375154632844,0.0969024885457406,1,12,17,4,14,10,36,14,45
ENSSTUE00000592097,26.5,16.25,36.75,2.25486718876367,1.17304246152735,5.5549637345457,0.0661893438366845,1,22,24,5,14,38,46,18,45
ENSSTUE00000340747,19.5,12,27,2.25392960235129,1.17244245609366,5.10532521793407,0.579180448378234,1,2,11,0,35,0,19,0,89
ENSSTUE00000180199,35.5,22.25,48.75,2.25330833050434,1.17204473765426,5.92965388718669,0.243267099221931,1,5,16,13,55,14,48,13,120
ENSSTUE00000246077,10.375,6.25,14.5,2.24161821578394,1.16454058452269,4.34563866129994,0.0417251083438927,1,9,6,2,8,12,14,9,23
ENSSTUE00000162825,19.375,12.25,26.5,2.23753993459602,1.16191343117221,5.13530527773383,0.0524454531507993,1,11,15,5,18,19,36,15,36
ENSSTUE00000426980,15.625,9.75,21.5,2.23501439328531,1.16028412226071,4.8707100668318,0.0512383184252669,1,15,6,6,12,23,12,37,14
ENSSTUE00000203431,16.25,10.25,22.25,2.2335879825115,1.15936308447463,4.89223615102884,0.244583475183827,1,10,1,5,25,8,14,10,57
ENSSTUE00000427588,23.875,14.75,33,2.22678871069428,1.15496467420346,5.41237195900681,0.287884502388942,1,3,23,25,8,3,6,67,56
ENSSTUE00000058011,12.125,7.5,16.75,2.22481740622656,1.1536869370044,4.55635344245664,0.267781819043923,1,9,15,6,0,10,45,10,2
ENSSTUE00000333089,18.875,12,25.75,2.22470403204939,1.15361341702457,5.09108712118478,0.0240211181647989,1,11,17,6,14,27,31,19,26
ENSSTUE00000191034,42.375,26.25,58.5,2.22365414797952,1.15293241854921,6.17971194805222,0.485519897481127,1,10,29,0,66,26,67,0,141
ENSSTUE00000165364,20.375,12.75,28,2.22311741168158,1.15258414484606,5.20258714952258,0.269682357967509,1,6,13,1,31,11,60,8,33
ENSSTUE00000501798,50.75,31.5,70,2.22065239158733,1.15098357920569,6.43350010354938,0.225727219836118,1,29,21,8,68,27,43,19,191
ENSSTUE00000477104,12.875,7.75,18,2.22042510597122,1.15083591061324,4.62907962683572,0.106737991599504,1,13,2,12,4,14,6,26,26
